date,facility_id,facility_name,country_code,item_code,generic_name,atc_code,consumption,stock_remaining,rainfall_mm,active_epidemic_cases,is_holiday,is_district_hospital
2026-06-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,173.4,1027,0.3,3,0,1
2026-06-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,171.3,2213,5.5,1,0,1
2026-06-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,188.7,775,5.0,3,0,1
2026-06-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,386.8,3762,25.8,9,0,1
2026-06-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,148.9,1169,1.5,1,0,1
2026-06-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,97.5,1283,2.6,1,1,1
2026-06-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,101.2,377,1.8,4,1,1
2026-06-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,123.8,1604,0.9,1,0,1
2026-06-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,372.6,3860,25.3,11,0,1
2026-06-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,372.6,4718,26.5,10,0,1
2026-06-18,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,230.6,1947,11.7,3,0,1
2026-06-19,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,124.7,1628,1.3,0,0,1
2026-06-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,262.7,1780,26.8,14,1,1
2026-06-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,70.5,326,1.1,1,1,1
2026-06-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,510.4,5544,48.0,13,0,1
2026-06-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,145.1,1294,1.6,2,0,1
2026-06-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,162.0,1758,0.7,4,0,1
2026-06-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,144.1,1163,0.8,2,0,1
2026-06-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,168.7,112,2.8,0,0,1
2026-06-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,81.6,1036,0.8,1,1,1
2026-06-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,142.1,473,19.9,0,1,1
2026-06-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,381.3,1001,22.2,12,0,1
2026-06-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,154.4,534,2.1,1,0,1
2026-07-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,357.9,1562,20.4,11,0,1
2026-07-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,168.0,1317,8.7,3,0,1
2026-07-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,167.0,529,5.7,2,0,1
2026-07-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,91.8,906,1.1,2,1,1
2026-07-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,105.8,962,0.8,1,1,1
2026-07-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,170.9,840,0.4,1,0,1
2026-07-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,111.2,1095,2.5,0,0,1
2026-07-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,138.3,370,2.2,2,0,1
2026-07-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,409.0,2653,23.7,14,0,1
2026-07-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,182.2,1600,2.2,2,0,1
2026-07-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,120.7,1644,14.3,0,1,1
2026-07-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,157.9,418,16.0,4,1,1
2026-07-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,228.6,1541,13.5,2,0,1
2026-07-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,159.8,428,0.1,3,0,1
2026-07-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,142.4,418,2.8,1,0,1
2026-07-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,131.1,91,2.4,2,0,1
2026-07-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,170.6,1643,0.8,3,0,1
2026-07-18,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,291.0,1411,56.9,8,1,1
2026-07-19,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,102.4,513,2.0,0,1,1
2026-07-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,154.5,1168,2.1,3,0,1
2026-07-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,183.8,2050,1.0,4,0,1
2026-07-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,617.2,2088,69.0,13,0,1
2026-07-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,123.5,194,1.4,0,0,1
2026-07-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,429.2,2071,21.9,16,0,1
2026-07-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,89.5,709,2.0,2,1,1
2026-07-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,141.2,300,15.8,2,1,1
2026-07-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,140.9,1528,0.4,2,0,1
2026-07-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,233.4,3001,14.7,1,0,1
2026-07-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,155.5,773,1.7,2,0,1
2026-07-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,652.0,8639,82.6,12,0,1
2026-07-31,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,252.7,467,7.9,4,0,1
2026-08-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,72.4,295,1.4,0,1,1
2026-08-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,198.4,1241,23.7,9,1,1
2026-08-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,210.1,2216,5.0,7,0,1
2026-08-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,171.8,1872,3.2,2,0,1
2026-08-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,188.5,636,16.6,2,0,1
2026-08-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,185.5,388,2.6,1,0,1
2026-08-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,145.6,628,0.5,3,0,1
2026-08-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,118.6,1278,5.0,3,1,1
2026-08-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,125.5,1132,3.3,4,1,1
2026-08-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,135.3,129,6.4,1,0,1
2026-08-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,213.9,2564,2.0,4,0,1
2026-08-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,498.3,3089,37.6,15,0,1
2026-08-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,179.6,2337,4.3,0,0,1
2026-08-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,155.1,2008,1.0,1,0,1
2026-08-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,76.4,512,0.6,0,1,1
2026-08-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,101.2,651,7.3,2,1,1
2026-08-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,142.8,688,2.9,3,0,1
2026-05-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,81.1,99,1.7,2,0,1
2026-05-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,65.9,165,1.0,3,0,1
2026-05-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,71.0,889,0.2,1,0,1
2026-05-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,51.0,187,9.4,0,1,1
2026-05-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,43.9,293,2.2,1,1,1
2026-05-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,65.1,402,2.2,1,0,1
2026-05-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,80.9,957,1.0,3,0,1
2026-05-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,75.0,462,2.2,1,0,1
2026-05-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,69.0,614,1.2,2,0,1
2026-05-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,83.6,160,0.4,4,0,1
2026-05-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,40.7,410,3.3,4,1,1
2026-05-31,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,38.0,411,5.6,1,1,1
2026-06-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,94.1,121,3.9,2,0,1
2026-06-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,82.3,143,5.2,1,0,1
2026-06-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,94.2,1199,1.1,1,0,1
2026-06-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,81.6,238,0.8,4,0,1
2026-06-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,61.9,268,4.7,3,0,1
2026-06-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,44.9,269,4.5,4,1,1
2026-06-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,53.2,594,1.5,2,1,1
2026-06-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,74.1,466,8.1,6,0,1
2026-06-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,69.1,379,2.6,1,0,1
2026-06-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,63.4,80,4.9,0,0,1
2026-06-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,97.1,760,7.1,1,0,1
2026-06-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,71.0,562,2.0,4,0,1
2026-06-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,53.3,282,10.5,0,1,1
2026-06-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,75.5,414,24.2,12,1,1
2026-06-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,79.1,967,0.4,2,0,1
2026-06-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,77.3,265,2.1,3,0,1
2026-06-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,68.4,541,1.5,1,0,1
2026-06-18,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,83.7,358,4.7,4,0,1
2026-06-19,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,74.5,819,5.9,0,0,1
2026-06-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,45.4,273,0.5,0,1,1
2026-06-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,75.7,542,26.2,10,1,1
2026-06-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,72.6,880,17.0,1,0,1
2026-06-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,77.8,599,6.9,1,0,1
2026-06-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,65.1,320,6.7,2,0,1
2026-06-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,70.7,371,4.7,2,0,1
2026-06-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,62.9,87,0.3,2,0,1
2026-06-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,41.2,322,0.3,1,1,1
2026-06-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,55.8,344,19.4,1,1,1
2026-06-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,71.9,547,2.3,1,0,1
2026-06-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,157.0,1258,33.1,19,0,1
2026-07-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,73.7,987,4.7,3,0,1
2026-07-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,73.6,172,1.1,3,0,1
2026-07-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,90.0,503,6.4,4,0,1
2026-07-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,96.1,510,43.5,16,1,1
2026-07-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,56.6,136,8.7,0,1,1
2026-07-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,147.2,262,48.1,16,0,1
2026-07-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,69.6,212,0.2,1,0,1
2026-07-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,77.6,525,0.0,5,0,1
2026-07-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,83.3,1140,0.4,4,0,1
2026-07-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,77.0,433,2.1,0,0,1
2026-07-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,49.3,459,18.0,1,1,1
2026-07-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,84.5,224,27.5,15,1,1
2026-07-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,64.1,166,1.1,2,0,1
2026-07-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,80.5,884,1.9,0,0,1
2026-07-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,59.0,417,2.8,0,0,1
2026-07-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,70.7,434,4.6,1,0,1
2026-07-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,75.9,1018,4.5,2,0,1
2026-07-18,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,35.4,37,1.3,3,1,1
2026-07-19,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,54.1,315,8.0,1,1,1
2026-07-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,77.6,253,2.1,1,0,1
2026-07-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,79.9,83,8.8,3,0,1
2026-07-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,66.6,369,0.6,1,0,1
2026-07-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,87.3,137,2.0,6,0,1
2026-07-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,51.4,412,0.9,1,0,1
2026-07-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,50.0,98,3.0,2,1,1
2026-07-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,46.7,604,0.8,1,1,1
2026-07-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,83.8,383,12.2,3,0,1
2026-07-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,80.4,1084,0.8,5,0,1
2026-07-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,120.0,623,31.4,13,0,1
2026-07-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,79.9,677,0.0,5,0,1
2026-07-31,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,83.2,768,0.3,2,0,1
2026-08-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,56.8,715,10.9,3,1,1
2026-08-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,50.5,572,10.6,5,1,1
2026-08-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,91.4,1276,1.6,2,0,1
2026-08-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,64.0,664,1.8,2,0,1
2026-08-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,129.2,219,38.8,15,0,1
2026-08-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,67.6,423,4.1,1,0,1
2026-08-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,67.0,88,1.4,4,0,1
2026-08-08,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,52.0,367,9.1,1,1,1
2026-08-09,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,103.0,433,52.5,20,1,1
2026-08-10,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,59.0,428,0.3,1,0,1
2026-08-11,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,92.6,901,5.8,2,0,1
2026-08-12,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,94.8,544,6.2,1,0,1
2026-08-13,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,88.0,195,2.4,2,0,1
2026-08-14,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,68.3,583,0.9,2,0,1
2026-08-15,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,39.2,420,5.5,1,1,1
2026-08-16,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,50.1,443,0.7,2,1,1
2026-08-17,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-AMX-250,Amoxicillin 250mg,J01CA04,67.2,136,4.1,3,0,1
